cohort,surface,lane,design_id,case_id,effort,treatment,repetition,run_id,pair_id,model,objective_success,success_basis,format_pass,human_accepted,status,input_tokens,output_tokens,reasoning_tokens,nonreasoning_tokens,total_tokens,cache_read_tokens,cache_write_tokens,reference_cost_usd,cache_neutral_cost_usd,elapsed_seconds,calls,missing_usage_calls,provider_seconds,first_request_input_tokens,maximum_request_input_tokens,requests_above_272000_input_tokens,known_input_tokens,known_output_tokens,known_total_tokens,known_reference_cost_usd,grading_amendment,review_disputed,full_input_observed,recorded_objective_success,adjudicated,phase_success,physical_attempts,retry_inclusive_input_tokens,retry_inclusive_output_tokens,retry_inclusive_reasoning_tokens,retry_inclusive_nonreasoning_tokens,retry_inclusive_total_tokens,retry_inclusive_cache_read_tokens,retry_inclusive_cache_write_tokens,retry_inclusive_reference_cost_usd,retry_inclusive_cache_neutral_cost_usd,retry_inclusive_elapsed_seconds,retry_inclusive_calls,retry_inclusive_known_reference_cost_usd,tool_calls,public_test_calls
api-v1,Responses API packet,long_context,N2,N2,high,no-tools;8192-cap,1,N2-high-r1-astra,N2-high-r1,astra-early-access,True,objective,True,,completed,11505,739,423,316,12244,0,11502,0.072302,0.0608,15.147794458011049,1,0,15.147794458011049,11505,11505,0,11505,739,12244,0.072302,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,long_context,N2,N2,high,no-tools;8192-cap,2,N2-high-r2-sol,N2-high-r2,gpt-5.6-sol,True,objective,True,,completed,11505,505,280,225,12010,11502,0,0.0147128,0.05612,7.33477225000388,1,0,7.33477225000388,11505,11505,0,11505,505,12010,0.0147128,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,long_context,N2,N2,high,no-tools;8192-cap,2,N2-high-r2-astra,N2-high-r2,astra-early-access,True,objective,True,,completed,11505,765,438,327,12270,11502,0,0.0199128,0.06132,15.519488207995892,1,0,15.519488207995892,11505,11505,0,11505,765,12270,0.0199128,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,long_context,N2,N2,medium,no-tools;8192-cap,1,N2-medium-r1-sol,N2-medium-r1,gpt-5.6-sol,True,objective,True,,completed,11505,568,331,237,12073,0,11502,0.068882,0.05738,7.251503667008365,1,0,7.251503667008365,11505,11505,0,11505,568,12073,0.068882,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,long_context,N2,N2,medium,no-tools;8192-cap,1,N2-medium-r1-astra,N2-medium-r1,astra-early-access,True,objective,True,,completed,11505,367,38,329,11872,0,11502,0.064862,0.05336,8.849271916988073,1,0,8.849271916988073,11505,11505,0,11505,367,11872,0.064862,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,reasoning,R1,R1,high,no-tools;8192-cap,1,R1-high-r1-sol,R1-high-r1,gpt-5.6-sol,True,objective,True,,completed,283,199,65,134,482,0,0,0.005112,0.005112,3.7166045420017326,1,0,3.7166045420017326,283,283,0,283,199,482,0.005112,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,reasoning,R1,R1,high,no-tools;8192-cap,1,R1-high-r1-astra,R1-high-r1,astra-early-access,True,objective,True,,completed,283,188,56,132,471,0,0,0.004892,0.004892,4.471089875005418,1,0,4.471089875005418,283,283,0,283,188,471,0.004892,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,reasoning,R2,R2,high,no-tools;8192-cap,1,R2-high-r1-sol,R2-high-r1,gpt-5.6-sol,True,objective,True,,completed,317,306,130,176,623,0,0,0.007388,0.007388,4.093655290998868,1,0,4.093655290998868,317,317,0,317,306,623,0.007388,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,reasoning,R2,R2,high,no-tools;8192-cap,1,R2-high-r1-astra,R2-high-r1,astra-early-access,True,objective,True,,completed,317,435,258,177,752,0,0,0.009968,0.009968,9.306747916009044,1,0,9.306747916009044,317,317,0,317,435,752,0.009968,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,reasoning,R3,R3,high,no-tools;8192-cap,1,R3-high-r1-sol,R3-high-r1,gpt-5.6-sol,True,objective,True,,completed,481,1974,1752,222,2455,0,0,0.041404,0.041404,32.16364058300678,1,0,32.16364058300678,481,481,0,481,1974,2455,0.041404,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,reasoning,R3,R3,high,no-tools;8192-cap,1,R3-high-r1-astra,R3-high-r1,astra-early-access,True,objective,True,,completed,481,1176,934,242,1657,0,0,0.025444,0.025444,23.333414458000334,1,0,23.333414458000334,481,481,0,481,1176,1657,0.025444,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,reasoning,R3,R3,high,no-tools;8192-cap,2,R3-high-r2-sol,R3-high-r2,gpt-5.6-sol,True,objective,True,,completed,481,1551,1301,250,2032,0,0,0.032944,0.032944,26.91852999999537,1,0,26.91852999999537,481,481,0,481,1551,2032,0.032944,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,reasoning,R3,R3,high,no-tools;8192-cap,2,R3-high-r2-astra,R3-high-r2,astra-early-access,True,objective,True,,completed,481,1252,1010,242,1733,0,0,0.026964,0.026964,25.20731949999754,1,0,25.20731949999754,481,481,0,481,1252,1733,0.026964,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,reasoning,R3,R3,medium,no-tools;8192-cap,1,R3-medium-r1-sol,R3-medium-r1,gpt-5.6-sol,True,objective,True,,completed,481,1144,907,237,1625,0,0,0.024804,0.024804,20.46574062498985,1,0,20.46574062498985,481,481,0,481,1144,1625,0.024804,,,,,,,,,,,,,,,,,,,,,
api-v1,Responses API packet,reasoning,R3,R3,medium,no-tools;8192-cap,1,R3-medium-r1-astra,R3-medium-r1,astra-early-access,True,objective,True,,completed,481,729,490,239,1210,0,0,0.016504,0.016504,15.103780040997663,1,0,15.103780040997663,481,481,0,481,729,1210,0.016504,,,,,,,,,,,,,,,,,,,,,
broad-v2,Codex subagent,coding,C1,C1,high,one-file-read;runtime-context,1,broad_r43,C1-high-r1,gpt-5.6-sol,True,test,,,completed,74014,438,133,305,74452,71296,0,0.048150399999999996,0.304816,16.297,2,0,,36798,37216,0,74014,438,74452,0.048150399999999996,,False,True,,,,,,,,,,,,,,,,,,
broad-v2,Codex subagent,coding,C1,C1,high,one-file-read;runtime-context,1,broad_r44,C1-high-r1,astra-early-access,True,test,,,completed,64871,335,61,274,65206,64178,534,0.0356772,0.266184,13.619,2,0,,32245,32626,0,64871,335,65206,0.0356772,,False,True,,,,,,,,,,,,,,,,,,
broad-v2,Codex subagent,coding,C1,C1,medium,one-file-read;runtime-context,1,broad_r20,C1-medium-r1,gpt-5.6-sol,True,test,,,completed,74027,525,172,353,74552,71296,0,0.0499424,0.306608,14.667,2,0,,36798,37229,0,74027,525,74552,0.0499424,,False,True,,,,,,,,,,,,,,,,,,
broad-v2,Codex subagent,coding,C1,C1,medium,one-file-read;runtime-context,1,broad_r19,C1-medium-r1,astra-early-access,True,test,,,completed,64869,279,9,270,65148,64178,532,0.0345472,0.265056,10.282,2,0,,32245,32624,0,64869,279,65148,0.0345472,,False,True,,,,,,,,,,,,,,,,,,
broad-v2,Codex subagent,coding,C2,C2,high,one-file-read;runtime-context,1,broad_r27,C2-high-r1,gpt-5.6-sol,True,test,,,completed,74034,427,105,322,74461,71296,0,0.0480104,0.304676,12.668,2,0,,36798,37236,0,74034,427,74461,0.0480104,,False,True,,,,,,,,,,,,,,,,,,
broad-v2,Codex subagent,coding,C2,C2,high,one-file-read;runtime-context,1,broad_r28,C2-high-r1,astra-early-access,True,test,,,completed,64880,305,54,251,65185,64178,543,0.0351222,0.26561999999999997,11.636,2,0,,32245,32635,0,64880,305,65185,0.0351222,,False,True,,,,,,,,,,,,,,,,,,
broad-v2,Codex subagent,coding,C2,C2,medium,one-file-read;runtime-context,1,broad_r04,C2-medium-r1,gpt-5.6-sol,True,test,,,completed,74038,457,142,315,74495,71296,0,0.0486264,0.305292,13.843,2,0,,36798,37240,0,74038,457,74495,0.0486264,,False,True,,,,,,,,,,,,,,,,,,
broad-v2,Codex subagent,coding,C2,C2,medium,one-file-read;runtime-context,1,broad_r03,C2-medium-r1,astra-early-access,True,test,,,completed,64881,301,38,263,65182,64178,544,0.0350472,0.265544,10.854,2,0,,32245,32636,0,64881,301,65182,0.0350472,,False,True,,,,,,,,,,,,,,,,,,
broad-v2,Codex subagent,coding,C3,C3,high,one-file-read;runtime-context,1,broad_r30,C3-high-r1,gpt-5.6-sol,True,test,,,completed,74086,809,255,554,74895,71296,0,0.0558584,0.312524,22.436,2,0,,36798,37288,0,74086,809,74895,0.0558584,,False,True,,,,,,,,,,,,,,,,,,
broad-v2,Codex subagent,coding,C3,C3,high,one-file-read;runtime-context,1,broad_r29,C3-high-r1,astra-early-access,True,test,,,completed,64883,763,276,487,65646,64178,546,0.0442972,0.274792,19.043,2,0,,32245,32638,0,64883,763,65646,0.0442972,,False,True,,,,,,,,,,,,,,,,,,
broad-v2,Codex subagent,coding,C3,C3,high,one-file-read;runtime-context,2,broad_r49,C3-high-r2,gpt-5.6-sol,True,test,,,completed,74049,944,436,508,74993,71296,0,0.0584104,0.315076,22.85,2,0,,36798,37251,0,74049,944,74993,0.0584104,,False,True,,,,,,,,,,,,,,,,,,
broad-v2,Codex subagent,coding,C3,C3,high,one-file-read;runtime-context,2,broad_r50,C3-high-r2,astra-early-access,True,test,,,completed,64884,883,392,491,65767,64178,547,0.0467022,0.277196,21.981,2,0,,32245,32639,0,64884,883,65767,0.0467022,,False,True,,,,,,,,,,,,,,,,,,
broad-v2,Codex subagent,coding,C3,C3,medium,one-file-read;runtime-context,1,broad_r05,C3-medium-r1,gpt-5.6-sol,True,test,,,completed,74097,743,219,524,74840,71296,0,0.0545824,0.31124799999999997,18.686,2,0,,36798,37299,0,74097,743,74840,0.0545824,,False,True,,,,,,,,,,,,,,,,,,
broad-v2,Codex subagent,coding,C3,C3,medium,one-file-read;runtime-context,1,broad_r06,C3-medium-r1,astra-early-access,True,test,,,completed,64921,607,100,507,65528,64178,580,0.0413632,0.27182399999999995,16.521,2,0,,32249,32672,0,64921,607,65528,0.0413632,,False,True,,,,,,,,,,,,,,,,,,
broad-v2,Codex subagent,debugging,D1,D1,high,one-file-read;runtime-context,1,broad_r35,D1-high-r1,gpt-5.6-sol,True,test,,,completed,74041,305,110,195,74346,71296,0,0.0455984,0.302264,13.251,2,0,,36798,37243,0,74041,305,74346,0.0455984,,False,True,,,,,,,,,,,,,,,,,,
broad-v2,Codex subagent,debugging,D1,D1,high,one-file-read;runtime-context,1,broad_r36,D1-high-r1,astra-early-access,True,test,,,completed,64874,186,45,141,65060,64178,537,0.0327122,0.263216,11.647,2,0,,32245,32629,0,64874,186,65060,0.0327122,,False,True,,,,,,,,,,,,,,,,,,
broad-v2,Codex subagent,debugging,D1,D1,medium,one-file-read;runtime-context,1,broad_r12,D1-medium-r1,gpt-5.6-sol,True,test,,,completed,74012,301,114,187,74313,71296,0,0.045402399999999996,0.302068,10.232,2,0,,36798,37214,0,74012,301,74313,0.045402399999999996,,False,True,,,,,,,,,,,,,,,,,,
broad-v2,Codex subagent,debugging,D1,D1,medium,one-file-read;runtime-context,1,broad_r11,D1-medium-r1,astra-early-access,False,test,,,completed,64659,143,36,107,64802,64178,322,0.0307772,0.261496,7.678,2,0,,32245,32414,0,64659,143,64802,0.0307772,,False,False,,,,,,,,,,,,,,,,,,
broad-v2,Codex subagent,debugging,D2,D2,high,one-file-read;runtime-context,1,broad_r47,D2-high-r1,gpt-5.6-sol,True,test,,,completed,74106,615,243,372,74721,71296,0,0.052058400000000005,0.308724,18.28,2,0,,36798,37308,0,74106,615,74721,0.052058400000000005,,False,True,,,,,,,,,,,,,,,,,,
broad-v2,Codex subagent,debugging,D2,D2,high,one-file-read;runtime-context,1,broad_r48,D2-high-r1,astra-early-access,True,test,,,completed,64927,461,169,292,65388,64178,590,0.0384772,0.268928,13.0,2,0,,32245,32682,0,64927,461,65388,0.0384772,,False,True,,,,,,,,,,,,,,,,,,
broad-v2,Codex subagent,debugging,D2,D2,medium,one-file-read;runtime-context,1,broad_r24,D2-medium-r1,gpt-5.6-sol,True,test,,,completed,74098,444,112,332,74542,71296,0,0.0486064,0.305272,13.575,2,0,,36798,37300,0,74098,444,74542,0.0486064,,False,True,,,,,,,,,,,,,,,,,,
broad-v2,Codex subagent,debugging,D2,D2,medium,one-file-read;runtime-context,1,broad_r23,D2-medium-r1,astra-early-access,True,test,,,completed,64927,410,86,324,65337,64178,590,0.0374572,0.267908,12.37,2,0,,32245,32682,0,64927,410,65337,0.0374572,,False,True,,,,,,,,,,,,,,,,,,
broad-v2,Codex subagent,debugging,D3,D3,high,one-file-read;runtime-context,1,broad_r46,D3-high-r1,gpt-5.6-sol,False,blind_rubric,,,completed,74293,1052,406,646,75345,71296,0,0.0615464,0.31821200000000005,23.418,2,0,,36798,37495,0,74293,1052,75345,0.0615464,,True,True,,,,,,,,,,,,,,,,,,
